,Open,High,Low,Close,Stock Splits,labels,open_low,open_close,gap,open_high,low_close,high_close,high_low,Dividends,Volume,last_day,predictions,shares,target_0,k0_true,k0_pnl,target_2,k2_true,k2_pnl,k0_k2,k0_k1_k2,net_pnl,eod_equity,daily_ret,half_kelly
2005-02-22,14.94,14.94,14.53,14.57,0.0,2,2.744310575635878,2.476572958500664,0.1340482573726513,0.0,-0.27529249827942825,-2.476572958500664,2.744310575635878,0.0,4252600.0,0.0,0.0,2745.0,14.84,True,274.49999999999903,14.66,True,768.5999999999982,274.49999999999903,274.49999999999903,271.49999999999903,10271.499999999998,0.027149999999999785,4.0
2005-02-23,14.62,14.72,14.61,14.64,0.0,1,0.0683994528043761,-0.13679890560876437,0.34317089910774834,-0.6839945280437855,-0.20533880903491536,-0.5434782608695656,0.7472826086956603,0.0,1737200.0,0.0,2.0,2806.0,14.52,False,-56.12,14.34,False,-56.12,-56.12,-56.12,-59.12,10212.379999999997,-0.0057557318794724255,4.0
2005-02-24,14.69,14.78,14.62,14.76,0.0,1,0.47651463580667314,-0.47651463580667314,0.34153005464480146,-0.6126616746085763,-0.9575923392612898,-0.1353179972936372,1.0825439783491213,0.0,1999600.0,0.0,1.0,2767.0,14.59,False,-193.69,14.41,False,-193.69,-193.69,0.0,0.0,10212.379999999997,0.0,4.0
2005-02-25,14.81,15.09,14.76,15.05,0.0,1,0.3376097231600318,-1.620526671168131,0.3387533875338802,-1.8906144496961468,-1.964769647696483,-0.2650762094101998,2.186878727634195,0.0,3548100.0,0.0,1.0,2714.0,14.71,False,-651.36,14.53,False,-651.36,-651.36,0.0,0.0,10212.379999999997,0.0,4.0
2005-02-28,15.08,15.11,14.89,14.94,0.0,2,1.2599469496021187,0.9283819628647253,0.1993355481727532,-0.19893899204243606,-0.3357958361316248,-1.1250827266710783,1.4559894109860945,0.0,1969700.0,0.0,1.0,2734.0,14.97,True,300.7399999999984,14.79,False,382.76,382.76,0.0,0.0,10212.379999999997,0.0,4.0
2005-03-01,14.97,15.09,14.92,14.98,0.0,2,0.33400133600534876,-0.06680026720106738,0.20080321285141323,-0.8016032064128203,-0.4021447721179658,-0.7289595758780612,1.1265738899933726,0.0,1480100.0,0.0,0.0,2726.0,14.87,False,-27.26,14.69,False,-27.26,-27.26,-27.26,-30.26,10182.119999999997,-0.0029630703126989344,4.0
2005-03-02,15.05,15.06,14.9,14.97,0.0,2,0.9966777408637897,0.5315614617940204,0.4672897196261701,-0.06644518272425108,-0.4697986577181227,-0.5976095617529871,1.0624169986719798,0.0,2570400.0,0.0,1.0,2720.0,14.94,True,299.2000000000033,14.76,False,217.6,217.6,0.0,0.0,10182.119999999997,0.0,4.0
2005-03-03,15.05,15.08,14.92,15.05,0.0,2,0.8637873754152875,0.0,0.5344021376085509,-0.1993355481727532,-0.8713136729222573,-0.19893899204243606,1.0610079575596827,0.0,2312300.0,0.0,0.0,2706.0,14.94,True,297.66000000000327,14.76,False,0.0,297.66000000000327,297.66000000000327,294.66000000000327,10476.78,0.028938963595008138,4.0
2005-03-04,15.14,15.3,15.07,15.28,0.0,1,0.462351387054163,-0.9247027741083143,0.5980066445182715,-1.0568031704095122,-1.3934970139349638,-0.13071895424837482,1.5032679738562118,0.0,1710200.0,0.0,1.0,2742.0,15.03,False,-383.88,14.85,False,-383.88,-383.88,0.0,0.0,10476.78,0.0,4.0
2005-03-07,15.3,15.42,15.3,15.39,0.0,1,0.0,-0.5882352941176461,0.13089005235602977,-0.7843137254901908,-0.5882352941176461,-0.19455252918287524,0.7782101167315124,0.0,1129500.0,0.0,1.0,2723.0,15.19,False,-245.07,15.01,False,-245.07,-245.07,0.0,0.0,10476.78,0.0,4.0
2005-03-08,15.42,15.42,15.25,15.29,0.0,2,1.102464332036316,0.8430609597924824,0.19493177387913815,0.0,-0.2622950819672075,-0.8430609597924824,1.102464332036316,0.0,1761900.0,0.0,1.0,2740.0,15.31,True,301.39999999999844,15.13,False,356.2,356.2,0.0,0.0,10476.78,0.0,4.0
2005-03-09,15.37,15.37,15.0,15.02,0.0,2,2.407286922576443,2.2771633051398807,0.5232177894048402,0.0,-0.1333333333333305,-2.2771633051398807,2.407286922576443,0.0,3952300.0,0.0,0.0,2790.0,15.26,True,306.8999999999984,15.08,True,809.0999999999976,306.8999999999984,306.8999999999984,303.8999999999984,10780.679999999998,0.02900700406040757,4.0
2005-03-10,15.05,15.16,14.93,15.11,0.0,2,0.7973421926910365,-0.3986710963455064,0.19973368841545366,-0.7308970099667735,-1.2056262558606814,-0.32981530343008386,1.517150395778367,0.0,2399300.0,0.0,0.0,2853.0,14.94,True,313.83000000000345,14.76,False,-171.18,313.83000000000345,313.83000000000345,310.83000000000345,11091.510000000002,0.028832133037990593,4.0
2005-03-11,15.12,15.2,15.01,15.05,0.0,2,0.7275132275132238,0.46296296296295314,0.06618133686300322,-0.5291005291005296,-0.2664890073284539,-0.9868421052631486,1.2499999999999967,0.0,1756400.0,0.0,1.0,2947.0,15.01,True,324.1699999999983,14.83,False,206.29,206.29,0.0,0.0,11091.510000000002,0.0,4.0
2005-03-14,15.06,15.29,15.03,15.28,0.0,1,0.19920318725100356,-1.4608233731739633,0.06644518272425108,-1.5272244355909605,-1.6633399866932803,-0.06540222367560358,1.7004578155657277,0.0,553300.0,0.0,0.0,2903.0,14.95,False,-638.66,14.77,False,-638.66,-638.66,-638.66,-641.66,10449.850000000002,-0.05785145575309403,4.0
2005-03-15,15.28,15.39,15.21,15.21,0.0,2,0.45811518324606354,0.45811518324606354,0.0,-0.7198952879581232,0.0,-1.1695906432748517,1.1695906432748517,0.0,2551100.0,0.0,1.0,2748.0,15.17,False,192.36,14.99,False,192.36,192.36,0.0,0.0,10449.850000000002,0.0,4.0
2005-03-16,15.2,15.25,14.99,15.07,0.0,2,1.381578947368415,0.8552631578947303,-0.0657462195923837,-0.3289473684210573,-0.5336891260840565,-1.1803278688524572,1.7049180327868836,0.0,3758800.0,0.0,0.0,2773.0,15.09,True,305.02999999999844,14.91,False,360.49,305.02999999999844,305.02999999999844,302.02999999999844,10751.880000000001,0.028902807217328297,4.0
2005-03-17,15.1,15.21,15.08,15.16,0.0,1,0.132450331125825,-0.39735099337748675,0.1990710019907058,-0.728476821192061,-0.5305039787798413,-0.32873109796187183,0.8547008547008598,0.0,833600.0,0.0,0.0,2836.0,14.99,False,-170.16,14.81,False,-170.16,-170.16,-170.16,-173.16,10578.720000000001,-0.01610509045859887,4.0
2005-03-18,15.26,15.26,15.02,15.11,0.0,2,1.572739187418088,0.9829619921363063,0.659630606860156,0.0,-0.5992010652463373,-0.9829619921363063,1.572739187418088,0.22,1351900.0,0.0,1.0,2800.0,15.15,True,307.9999999999984,14.97,False,420.0,420.0,0.0,0.0,10578.720000000001,0.0,4.0
2005-03-21,15.19,15.19,15.07,15.11,0.0,2,0.7899934167215221,0.526662277814352,0.5294506949040376,0.0,-0.26542800265427435,-0.526662277814352,0.7899934167215221,0.0,926900.0,0.0,0.0,2800.0,15.08,True,307.9999999999984,14.9,False,224.0,307.9999999999984,307.9999999999984,304.9999999999984,10883.72,0.02883146543249082,4.0
2005-03-22,15.12,15.17,14.79,14.8,0.0,2,2.1825396825396832,2.1164021164021065,0.06618133686300322,-0.3306878306878354,-0.06761325219744127,-2.4390243902438975,2.5049439683586074,0.0,3712100.0,0.0,1.0,2941.0,15.01,True,323.50999999999834,14.83,True,852.8899999999975,852.8899999999975,0.0,0.0,10883.72,0.0,4.0
2005-03-23,14.81,14.81,14.58,14.73,0.0,2,1.553004726536127,0.5401755570560437,0.06756756756756613,0.0,-1.0288065843621423,-0.5401755570560437,1.553004726536127,0.0,6573000.0,0.0,0.0,2955.0,14.71,True,295.499999999999,14.53,False,236.4,295.499999999999,295.499999999999,292.499999999999,11176.219999999998,0.026875002297008566,4.0
2005-03-24,14.8,14.95,14.77,14.89,0.0,1,0.2027027027027104,-0.6081081081081071,0.47522063815343024,-1.0135135135135038,-0.812457684495606,-0.40133779264213193,1.2040133779264197,0.0,2378700.0,0.0,0.0,3002.0,14.7,False,-270.18,14.52,False,-270.18,-270.18,-270.18,-273.18,10903.039999999997,-0.024442969089728095,4.0
2005-03-28,14.98,15.02,14.9,14.91,0.0,2,0.5340453938584784,0.4672897196261701,0.6044325050369366,-0.2670226969292333,-0.06711409395973011,-0.7323568575232985,0.7989347536617791,0.0,818000.0,0.0,1.0,2925.0,14.88,False,204.75,14.7,False,204.75,204.75,0.0,0.0,10903.039999999997,0.0,4.0
2005-03-29,14.98,14.98,14.7,14.73,0.0,2,1.8691588785046804,1.6688918558077435,0.46948356807511926,0.0,-0.20408163265306897,-1.6688918558077435,1.8691588785046804,0.0,1305700.0,0.0,0.0,2960.0,14.88,True,295.999999999999,14.7,True,828.8000000000034,295.999999999999,295.999999999999,292.999999999999,11196.039999999995,0.026873239023244677,4.0
