symbol,pct,min_cum,max_cum
ZIONP,15.21,-0.163,0.457
ACR-PC,15.36,-0.038,0.337
MITT-PB,94.09,-0.027,0.978
MITT-PC,118.38,-0.011,1.116
MITT-PA,63.84,-0.064,0.766
AL-PA,94.76,-0.023,1.108
AIRTP,47.31,-0.044,0.408
AQNU,18.95,-0.056,0.239
AILIO,28.35,-0.089,0.548
AIG-PA,42.42,-0.009,0.491
AFSIN,30.12,-0.021,0.387
AFSIB,60.97,-0.011,0.639
AFSIP,21.16,-0.052,0.252
NLY-PG,67.61,-0.036,0.690
NLY-PI,62.05,-0.040,0.696
NLY-PF,47.84,-0.033,0.532
AUVIP,28.5,-0.081,0.421
AHT-PF,79.41,-0.140,0.676
AHT-PH,87.83,-0.090,0.753
AHT-PI,63.12,-0.054,0.593
AHT-PD,122.38,0.000,1.552
AHL-PE,10.11,-0.042,0.310
ASB-PE,34.52,0.000,0.523
ATLCP,42.11,-0.019,0.518
ATCO-PH,27.36,0.000,0.264
ATCO-PD,40.42,-0.062,0.377
RILYP,12.22,-0.236,0.136
RILYL,19.51,-0.114,0.204
BAC-PN,39.89,-0.016,0.414
BAC-PM,35.85,0.000,0.376
BML-PH,30.56,0.000,1.269
BML-PJ,91.22,0.000,1.358
BML-PL,36.14,0.000,1.085
BAC-PE,121.73,-0.018,1.486
BOH-PA,29.21,-0.034,0.389
OZKAP,20.35,0.000,0.219
TEUCF,23.84,-0.032,0.226
BHFAN,24.66,-0.105,0.307
BHFAP,31.25,-0.078,0.331
BHFAM,23.82,0.000,0.304
BMYMP,22.87,-0.041,0.785
BIP-PA,10.68,-0.065,0.156
BPYPN,55.89,0.000,0.505
BPYPO,219.64,-0.009,1.519
BPYPP,203.9,-0.036,1.420
BPYPM,56.3,0.000,0.466
BEP-PA,13.79,-0.069,0.192
CDZIP,42.1,0.000,0.437
CCLDP,323.82,-0.404,2.642
CCLDO,251,-0.082,2.060
YCBD-PA,35.53,0.000,0.342
CDR-PC,23,-0.110,1.595
CDR-PB,40.71,-0.099,1.257
CSSEP,878.97,-0.050,3.015
CIM-PC,146.87,-0.002,1.134
CIM-PA,116.98,-0.078,0.969
CIM-PB,110.57,-0.090,1.028
CIM-PD,110.87,-0.011,1.034
CHSCP,12.81,-0.221,0.157
CLVT-PA,25.12,-0.130,0.307
COMSP,29.59,-0.109,0.290
CTGSP,44.27,-0.653,1.221
CMRE-PC,12.89,-0.038,0.270
CTO-PA,15.21,-0.007,0.208
CFR-PB,33.97,-0.076,0.338
CUBI-PF,89.35,-0.081,0.921
CUBI-PE,62.38,-0.064,0.708
CYCCP,415.94,-0.067,2.682
DVSPF,174.22,-0.112,1.700
DSHKO,25.55,-0.132,0.482
DSHKN,21.62,0.000,0.964
DSHKP,24.83,-0.163,0.485
DLNG-PB,83.66,0.000,0.759
DLNG-PA,62.69,-0.003,0.551
ECCC,17.45,-0.009,0.273
ECC-PD,26.01,0.000,0.306
EFSCP,18.7,-0.048,0.276
EQH-PA,68.88,0.000,0.680
EQH-PC,29.16,-0.028,0.334
GMBLP,257.24,-0.033,1.606
FGFPP,32.95,0.000,0.814
FCNCO,21.65,0.000,0.315
FHN-PD,20.08,-0.039,0.291
FHN-PC,31.21,-0.038,0.388
FRCHL,49.64,-0.123,0.574
FRCIL,40.13,-0.261,0.572
FBIOP,34.95,-0.209,0.628
FTAIN,34.07,-0.028,0.459
FTAIP,139.45,-0.012,1.273
FTAIO,134.8,0.000,1.096
LANDO,37.06,-0.116,0.483
GMLPF,79.12,0.000,0.658
GS-PK,16.33,-0.031,0.186
