dates,month,day,year,month_day1,month_day2,day1,day2,timestamp
February 6-7 Meeting - 1990,February,6-7,1990,n,a,6,7,1990-02-07
March 27 Meeting - 1990,March,27,1990,n,a,nan,27,1990-03-27
April 11 Conference Call - 1990,April,11,1990,n,a,nan,11,1990-04-11
May 15 Meeting - 1990,May,15,1990,n,a,nan,15,1990-05-15
July 2-3 Meeting - 1990,July,2-3,1990,n,a,2,3,1990-07-03
August 21 Meeting - 1990,August,21,1990,n,a,nan,21,1990-08-21
September 7 Conference Call - 1990,September,7,1990,n,a,nan,7,1990-09-07
September 17 Conference Call - 1990,September,17,1990,n,a,nan,17,1990-09-17
October 2 Meeting - 1990,October,2,1990,n,a,nan,2,1990-10-02
November 13 Meeting - 1990,November,13,1990,n,a,nan,13,1990-11-13
December 7 Conference Call - 1990,December,7,1990,n,a,nan,7,1990-12-07
December 18 Meeting - 1990,December,18,1990,n,a,nan,18,1990-12-18
January 9 Conference Call - 1991,January,9,1991,n,a,nan,9,1991-01-09
February 1 Conference Call - 1991,February,1,1991,n,a,nan,1,1991-02-01
February 5-6 Meeting - 1991,February,5-6,1991,n,a,5,6,1991-02-06
March 26 Meeting - 1991,March,26,1991,n,a,nan,26,1991-03-26
April 12 Conference Call - 1991,April,12,1991,n,a,nan,12,1991-04-12
April 30 Conference Call - 1991,April,30,1991,n,a,nan,30,1991-04-30
May 1 Conference Call - 1991,May,1,1991,n,a,nan,1,1991-05-01
May 14 Meeting - 1991,May,14,1991,n,a,nan,14,1991-05-14
June 10 Conference Call - 1991,June,10,1991,n,a,nan,10,1991-06-10
June 24 Conference Call - 1991,June,24,1991,n,a,nan,24,1991-06-24
July 2-3 Meeting - 1991,July,2-3,1991,n,a,2,3,1991-07-03
August 5 Conference Call - 1991,August,5,1991,n,a,nan,5,1991-08-05
August 20 Meeting - 1991,August,20,1991,n,a,nan,20,1991-08-20
September 13 Conference Call - 1991,September,13,1991,n,a,nan,13,1991-09-13
October 1 Meeting - 1991,October,1,1991,n,a,nan,1,1991-10-01
October 30 Conference Call - 1991,October,30,1991,n,a,nan,30,1991-10-30
November 5 Meeting - 1991,November,5,1991,n,a,nan,5,1991-11-05
December 2 Conference Call - 1991,December,2,1991,n,a,nan,2,1991-12-02
December 17 Meeting - 1991,December,17,1991,n,a,nan,17,1991-12-17
January 9 Conference Call - 1992,January,9,1992,n,a,nan,9,1992-01-09
February 4-5 Meeting - 1992,February,4-5,1992,n,a,4,5,1992-02-05
March 11 Conference Call - 1992,March,11,1992,n,a,nan,11,1992-03-11
March 31 Meeting - 1992,March,31,1992,n,a,nan,31,1992-03-31
May 19 Meeting - 1992,May,19,1992,n,a,nan,19,1992-05-19
June 30-July 1 Meeting - 1992,June,30,1992,n,a,nan,30,1992-06-30
July 2 Conference Call - 1992,July,2,1992,n,a,nan,2,1992-07-02
August 18 Meeting - 1992,August,18,1992,n,a,nan,18,1992-08-18
October 6 Meeting - 1992,October,6,1992,n,a,nan,6,1992-10-06
November 17 Meeting - 1992,November,17,1992,n,a,nan,17,1992-11-17
December 14 Conference Call - 1992,December,14,1992,n,a,nan,14,1992-12-14
December 22 Meeting - 1992,December,22,1992,n,a,nan,22,1992-12-22
January 6 Conference Call - 1993,January,6,1993,n,a,nan,6,1993-01-06
February 2-3 Meeting - 1993,February,2-3,1993,n,a,2,3,1993-02-03
February 18 Conference Call - 1993,February,18,1993,n,a,nan,18,1993-02-18
March 1 Conference Call - 1993,March,1,1993,n,a,nan,1,1993-03-01
March 23 Meeting - 1993,March,23,1993,n,a,nan,23,1993-03-23
May 18 Meeting - 1993,May,18,1993,n,a,nan,18,1993-05-18
July 6-7 Meeting - 1993,July,6-7,1993,n,a,6,7,1993-07-07
August 17 Meeting - 1993,August,17,1993,n,a,nan,17,1993-08-17
September 21 Meeting - 1993,September,21,1993,n,a,nan,21,1993-09-21
October 5 Conference Call - 1993,October,5,1993,n,a,nan,5,1993-10-05
October 15 Conference Call - 1993,October,15,1993,n,a,nan,15,1993-10-15
October 22 Conference Call - 1993,October,22,1993,n,a,nan,22,1993-10-22
November 9 Conference Call - 1993,November,9,1993,n,a,nan,9,1993-11-09
November 10 Conference Call - 1993,November,10,1993,n,a,nan,10,1993-11-10
November 16 Meeting - 1993,November,16,1993,n,a,nan,16,1993-11-16
December 21 Meeting - 1993,December,21,1993,n,a,nan,21,1993-12-21
February 3-4 Meeting - 1994,February,3-4,1994,n,a,3,4,1994-02-04
February 28 Conference Call - 1994,February,28,1994,n,a,nan,28,1994-02-28
March 22 Meeting - 1994,March,22,1994,n,a,nan,22,1994-03-22
March 24 Conference Call - 1994,March,24,1994,n,a,nan,24,1994-03-24
April 18 Conference Call - 1994,April,18,1994,n,a,nan,18,1994-04-18
May 17 Meeting - 1994,May,17,1994,n,a,nan,17,1994-05-17
July 5-6 Meeting - 1994,July,5-6,1994,n,a,5,6,1994-07-06
July 20 Conference Call - 1994,July,20,1994,n,a,nan,20,1994-07-20
August 16 Meeting - 1994,August,16,1994,n,a,nan,16,1994-08-16
September 27 Meeting - 1994,September,27,1994,n,a,nan,27,1994-09-27
November 15 Meeting - 1994,November,15,1994,n,a,nan,15,1994-11-15
December 20 Meeting - 1994,December,20,1994,n,a,nan,20,1994-12-20
December 30 Conference Call - 1994,December,30,1994,n,a,nan,30,1994-12-30
January 13 Conference Call - 1995,January,13,1995,n,a,nan,13,1995-01-13
January 31-February 1 Meeting - 1995,January,31,1995,n,a,nan,31,1995-01-31
March 10 Conference Call - 1995,March,10,1995,n,a,nan,10,1995-03-10
March 28 Meeting - 1995,March,28,1995,n,a,nan,28,1995-03-28
April 28 Conference Call - 1995,April,28,1995,n,a,nan,28,1995-04-28
May 23 Meeting - 1995,May,23,1995,n,a,nan,23,1995-05-23
July 5-6 Meeting - 1995,July,5-6,1995,n,a,5,6,1995-07-06
August 22 Meeting - 1995,August,22,1995,n,a,nan,22,1995-08-22
September 26 Meeting - 1995,September,26,1995,n,a,nan,26,1995-09-26
November 15 Meeting - 1995,November,15,1995,n,a,nan,15,1995-11-15
December 19 Meeting - 1995,December,19,1995,n,a,nan,19,1995-12-19
January 30-31 Meeting - 1996,January,30-31,1996,n,a,30,31,1996-01-31
March 26 Meeting - 1996,March,26,1996,n,a,nan,26,1996-03-26
May 21 Meeting - 1996,May,21,1996,n,a,nan,21,1996-05-21
July 2-3 Meeting - 1996,July,2-3,1996,n,a,2,3,1996-07-03
August 20 Meeting - 1996,August,20,1996,n,a,nan,20,1996-08-20
September 24 Meeting - 1996,September,24,1996,n,a,nan,24,1996-09-24
November 13 Meeting - 1996,November,13,1996,n,a,nan,13,1996-11-13
December 17 Meeting - 1996,December,17,1996,n,a,nan,17,1996-12-17
