Symbol,Security Description,StockExchange,IPO Date,"Cpn Rate
Ann Amt","LiqPref
CallPrice",Call Date,Moodys/S&PDated,"15%
Tax Rate",IPO Prospectus,Distribution Dates
"SLMNP
808194302","A. Schulman, 6.00% Cumulative Perpetual Convertible Special Stock","OTOTC
Chart ",04/30/2015 ,"6.00% 
$60.00 ","$1,000.00 
$1,000.00 ","n.a. 
None ","NR NF 
12/21/2022 ",YES ,Prospectus ,"2/1, 5/1, 8/1 & 11/1
Click for MW ExDiv Date
Click for Yahoo ExDiv Date"
"ACP-A
003057205",Aberdeen Income Credit Strategies Fund 5.250% Series A Preferred Shares,"NYSE
Chart",05/03/21,"5.25% 
$1.3125 ","$25.00 
$25.00 ","6/30/2026 
None ","A2 NF 
12/21/2022 ",Variable ,Prospectus ,"3/31, 6/30, 9/30 & 12/31
Click for MW ExDiv Date
Click for Yahoo ExDiv Date"
"ACR-C
00489Q201",ACRES Commercial Realty Corp 8.625% Fixed/Float Ser C Cumul Redeem Prfd Stock,"NYSE
Chart",06/03/14,"FixFloat 
$2.16 ","$25.00 
$25.00 ","7/30/2024 
None ","NR NF 
12/31/2023 ",No ,Prospectus ,"1/30, 4/30, 7/30 & 10/30
Click for MW ExDiv Date
Click for Yahoo ExDiv Date"
"ACR-D
00489Q300","ACRES Commercial Realty Corp., 7.875% Series D Cumulative Preferred Stock","NYSE
Chart",05/14/2021 ,"7.88% 
$1.96875 ","$25.00 
$25.00 ","5/21/2026 
None ","NF NF 
12/31/2023 ",No ,Prospectus ,"1/30, 4/30, 7/30 & 10/30
Click for MW ExDiv Date
Click for Yahoo ExDiv Date"
"MITT-B
001228303","AG Mortgage Investment Trust, 8.00% Series B Cumul Redeem Preferred Stock","NYSE
Chart",09/20/2012 ,"8.00% 
$2.00 ","$25.00 
$25.00 ","9/27/2017 
None ","NF NF 
1/09/2023 ",No ,Prospectus ,"3/17, 6/17, 9/17 & 12/17
Click for MW ExDiv Date
Click for Yahoo ExDiv Date"
"MITT-C
001228402","AG Mortgage Investment Trust, 8.00% Series C Fix/Float Cumul Redeem Prfd Stock","NYSE
Chart",09/11/19,"Fix/Float 
$2.00 ","$25.00 
$25.00 ","9/17/2024 
None ","NF NF 
1/09/2023 ",No ,Prospectus ,"3/17, 6/17, 9/17 & 12/17
Click for MW ExDiv Date
Click for Yahoo ExDiv Date"
"MITT-A
001228204","AG Mortgage Investment Trust, 8.25% Series A Cumulative Redeem Preferred Stock","NYSE
Chart",07/27/2012 ,"8.25% 
$2.06 ","$25.00 
$25.00 ","8/03/2017 
None ","NF NF 
1/09/2023 ",No ,Prospectus ,"3/17, 6/17, 9/17 & 12/17
Click for MW ExDiv Date
Click for Yahoo ExDiv Date"
"AGNCP
00123Q872",AGNC Investment Corp. 6.125% Dep Shares Ser F Fix/Float Cumul Red Preferred Stk,"NGS
Chart ",02/04/20,"6.13% 
$1.53125 ","$25.00 
$25.00 ","4/15/2025 
None ","NF NF 
4/16/2023 ",No ,Prospectus ,"1/15, 4/15, 7/15 & 10/15
Click for MW ExDiv Date
Click for Yahoo ExDiv Date"
"AGNCL
00123Q856",AGNC Investment Corp. Dep Shares Ser G Reset Rate Cumul Preferred Stock,"NGS
Chart ",09/08/22,"Reset Rate 
$1.9375 ","$25.00 
$25.00 ","10/15/2027 
None ","NF NF 
4/23/2023 ",No ,Prospectus ,"1/15, 4/15, 7/15 & 10/15
Click for MW ExDiv Date
Click for Yahoo ExDiv Date"
"AGNCO
00123Q807","AGNC Investment Corp., 6.50% Dep Shares Ser E Fix/Float Cumul Red Preferred Stk","NGS
Chart ",09/26/2019 ,"FixFloat 
$1.63 ","$25.00 
$25.00 ","10/15/2024 
None ","NF NF 
4/16/2023 ",No ,Prospectus ,"1/15, 4/15, 7/15 & 10/15
Click for MW ExDiv Date
Click for Yahoo ExDiv Date"
"AGNCM
00123Q609","AGNC Investment Corp., 6.875% Dep Shares Ser D Fix/Float Cumul Red Preferred Stk","NGS
Chart ",02/27/2019 ,"FixFloat 
$1.72 ","$25.00 
$25.00 ","4/15/2024 
None ","NF NF 
4/16/2023 ",No ,Prospectus ,"1/15, 4/15, 7/15 & 10/15
Click for MW ExDiv Date
Click for Yahoo ExDiv Date"
"AGNCN
00123Q500","AGNC Investment Corp., 7.00% Dep Shares Ser C Fix/Float Cumul Red Preferred Stk","NGS
Chart ",08/15/2017 ,"FixFloat 
$1.75 ","$25.00 
$25.00 ","10/15/2022 
None ","NF NF 
4/16/2023 ",No ,Prospectus ,"1/15, 4/15, 7/15 & 10/15
Click for MW ExDiv Date
Click for Yahoo ExDiv Date"
"ADC-A
008492209",Agree Realty Corp 4.250% Depositary Shares Series A Cumulative Preferred Stock,"NYSE
Chart",09/08/21,"4.25% 
$1.0625 ","$25.00 
$25.00 ","9/17/2026 
None ","Baa2 BB+ 
1/06/2023 ",No ,Prospectus ,"First Day of the Month
Click for MW ExDiv Date
Click for Yahoo ExDiv Date"
"AL-A
00912X500","Air Lease Corp., 6.15% Fix/Float Non Cumulative Perp Preferred Stock Series A","NYSE
Chart",02/25/2019 ,"FixFloat 
$1.54 ","$25.00 
$25.00 ","3/15/2024 
None ","NF BB+ 
1/24/2023 ",YES ,Prospectus ,"3/15, 6/15, 9/15 & 12/15
Click for MW ExDiv Date
Click for Yahoo ExDiv Date"
"AIRTP
00919P120","Air T Funding, 8.00% Alpha Income Trust Preferred Securities Due 6/7/2049","NGM
Chart ",06/11/19,"8.00% 
$2 ","$25.00 
$25.00 ","6/07/2024 
6/07/2049 ","NF NF 
2/20/2024 ",No ,Prospectus ,"2/15, 5/15, 8/15, & 11/15
Click for MW ExDiv Date
Click for Yahoo ExDiv Date"
"ALB-A
012653200",Albemarle Corp 7.25% Dep Shares Ser A Mandatory Convertible Prfd Due 03/01/2027,"NYSE
Chart",03/04/24,"7.25% 
$3.625 ","$50.00 
n.a. ","n.a. 
3/01/2027 ","NR NR 
3/07/2024 ",No ,Prospectus ,"3/1, 6/1, 9/1 & 12/1
Click for MW ExDiv Date
Click for Yahoo ExDiv Date"
