strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price
Strat_1,AMLP,SELL,52.26,5911.57,3.35,19803.76,378,at_open,0.99251,0.00749,at_close
Strat_1,IVE,SELL,190.33,5887.32,4.0,23549.28,123,at_open,0.995226,0.004774,at_close
Strat_1,IVW,SELL,93.5,5651.0,1.88,10623.88,113,at_open,0.985666,0.014334,at_close
Strat_1,IWM,HOLD,199.51,5964.06,4.0,23856.24,119,at_open,0.997386,0.002614,at_close
Strat_1,SPY,SELL,560.97,5868.42,4.0,23473.68,41,at_open,0.996044,0.003956,at_close
Strat_1,USO,HOLD,77.08,5931.96,4.0,23727.84,307,at_open,0.994494,0.005506,at_close
Strat_1,XLF,SELL,49.75,5929.97,4.0,23719.88,476,at_open,0.99338,0.00662,at_close
Strat_1,XLI,SELL,131.81,5659.48,2.585,14629.76,110,at_open,0.994031,0.005969,at_close
Strat_1,XLU,HOLD,79.05,5734.75,2.32,13304.62,168,at_open,0.9978,0.0022,at_close
Strat_1,XLV,SELL,143.34,5847.11,1.325,7747.42,54,at_open,0.993545,0.006455,at_close
Strat_2,SPY,BUY,560.97,95705.72,0.165,15791.44,28,at_open,at_close,0.38,at_close
