strat,ticker,direction,last_close_price,capital,half_kelly,bp_used,n_shares,open_position,target_price,expected_return,stop_price,low,high,target_reached,pnl,eod_capital
Strat_1,AMLP,SELL,46.56,5332.74,3.425,18264.63,392,47.4,47.04,0.00749,47.69,47.05,47.89,False,-113.68,5219.06
Strat_1,IVE,SELL,178.31,3999.3,4.0,15997.2,89,181.18,180.32,0.004774,180.35,178.87,181.53,True,76.37,4075.67
Strat_1,IVW,HOLD,90.39,3986.26,2.155,8590.39,95,92.32,92.0,0.003428,90.99,90.17,92.42,True,0.0,3986.26
Strat_1,IWM,HOLD,184.36,6157.18,4.0,24628.72,133,187.81,187.32,0.002614,186.53,183.05,187.97,True,0.0,6157.18
Strat_1,SPY,HOLD,533.94,3383.26,4.0,13533.04,25,544.05,543.17,0.001622,539.12,533.86,544.28,True,0.0,3383.26
Strat_1,USO,HOLD,66.46,4079.8,4.0,16319.2,245,67.12,66.75,0.005506,66.66,65.62,67.13,True,0.0,4079.8
Strat_1,XLF,SELL,46.67,4256.67,4.0,17026.68,364,47.35,47.04,0.00662,47.15,46.87,47.62,True,112.72,4369.39
Strat_1,XLI,SELL,125.67,4270.59,3.395,14498.65,115,127.19,124.85,0.018373,126.98,125.92,127.82,False,24.15,4294.74
Strat_1,XLU,SELL,76.32,6617.48,2.14,14161.41,185,76.92,76.38,0.007,77.69,76.47,77.94,False,-142.45,6475.03
Strat_1,XLV,SELL,136.87,5540.28,1.43,7922.6,57,138.21,137.32,0.006455,138.54,136.96,139.04,True,51.14,5591.42
Strat_2,SPY,BUY,533.94,100130.09,0.54,54070.25,101,544.05,at_close,0.38,539.12,533.86,544.28,nan,-497.92999999999495,99632.16
