strategy_name,strategy,starting_capital,symbol,annual_return,std,sr,max_dd,dd_duration,current_capital,status
Strat_1,Short_Open,57770,XLU,22.49,26.58,0.84,-55.2,1006.0,57770,active
Strat_1,Short_Open,57770,SPY,19.82,12.46,1.59,-16.04,505.0,57770,active
Strat_1,Short_Open,57770,AMLP,77.27,41.41,1.87,-56.7,492.0,57770,active
Strat_1,Short_Open,57770,XLI,99.0,99.0,99.0,99.0,99.0,57770,active
Strat_1,Short_Open,57770,USO,99.0,99.0,99.0,99.0,99.0,57770,active
Strat_2,Long_Short_Open,100000,SPY,99.0,99.0,99.0,99.0,99.0,94254.81,active
Strat_1,Short_Open,57770,IVE,99.0,99.0,99.0,99.0,99.0,57770,active
Strat_1,Short_Open,57770,IVW,99.0,99.0,99.0,99.0,99.0,57770,active
Strat_1,Short_Open,57770,XLF,99.0,99.0,99.0,99.0,99.0,57770,active
Strat_1,Short_Open,57770,XLV,99.0,99.0,99.0,99.0,99.0,57770,active
Strat_1,Short_Open,57770,IWM,99.0,99.0,99.0,99.0,99.0,57770,active
